"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000008565.1","GCA_001638825.1","GCA_008329785.1","GCA_011604805.1","GCA_011604825.1","GCA_020546685.1","GCA_021378295.1","GCA_024138735.1"
"groES","","co-chaperone GroES","8","8","1","1","2147","1","1418","","287","362","296","DR_0606.p01","A2G07_10455.p01","a6679ee1dd99a76d4f263da36fcf6004_9905","689a1f7569cd370648666ad3906989ad_4607","e7eb4eb1fba968f75f75040ad2de8570_8225","5974397fafb4265a64d121638449c96c_2483","DRO_0606.p01","5b1dec001b64d68f08bc514628990a75_7541"
"A2G07_10415","","hypothetical protein","8","8","1","1","2154","1","1425","","719","797","738","DR_0614.p01","A2G07_10415.p01","a6679ee1dd99a76d4f263da36fcf6004_9933","689a1f7569cd370648666ad3906989ad_4637","e7eb4eb1fba968f75f75040ad2de8570_8199","5974397fafb4265a64d121638449c96c_2511","DRO_0614.p01","5b1dec001b64d68f08bc514628990a75_7581"
"DRO_0616","","hypothetical protein","8","8","1","1","2156","1","1427","","374","506","390","DR_0616.p01","A2G07_10405.p01","a6679ee1dd99a76d4f263da36fcf6004_9941","689a1f7569cd370648666ad3906989ad_4645","e7eb4eb1fba968f75f75040ad2de8570_8191","5974397fafb4265a64d121638449c96c_2519","DRO_0616.p01","5b1dec001b64d68f08bc514628990a75_7589"
"E5E91_03240","","AAA family ATPase","8","8","1","1","2161","1","1432","","899","962","946","DR_0621.p01","A2G07_10380.p01","a6679ee1dd99a76d4f263da36fcf6004_9960","689a1f7569cd370648666ad3906989ad_4665","e7eb4eb1fba968f75f75040ad2de8570_8171","5974397fafb4265a64d121638449c96c_2539","DRO_0621.p01","5b1dec001b64d68f08bc514628990a75_7611"
"ftsA","","cell division protein FtsA","8","8","1","1","2171","1","1442","","1514","1553","1548","DR_0630.p01","A2G07_10330.p01","a6679ee1dd99a76d4f263da36fcf6004_9996","689a1f7569cd370648666ad3906989ad_4701","e7eb4eb1fba968f75f75040ad2de8570_8134","5974397fafb4265a64d121638449c96c_2579","DRO_0630.p01","5b1dec001b64d68f08bc514628990a75_7645"
"rsmI","","16S rRNA (cytidine(1402)-2'-O)-methyltransferase","8","8","1","1","2177","1","1448","","887","959","941","DR_0636.p01","A2G07_10300.p01","a6679ee1dd99a76d4f263da36fcf6004_10019","689a1f7569cd370648666ad3906989ad_4725","e7eb4eb1fba968f75f75040ad2de8570_8110","5974397fafb4265a64d121638449c96c_2603","DRO_0636.p01","5b1dec001b64d68f08bc514628990a75_7671"
"HAV23_06105","","hypothetical protein","8","8","1","1","2178","1","1449","","221","233","225","DR_0637.p01","A2G07_10295.p01","a6679ee1dd99a76d4f263da36fcf6004_10023","689a1f7569cd370648666ad3906989ad_4729","e7eb4eb1fba968f75f75040ad2de8570_8106","5974397fafb4265a64d121638449c96c_2607","DRO_0637.p01","5b1dec001b64d68f08bc514628990a75_7675"
"DR_t18","","tRNA-Pro","8","8","1","1","2180","1","1451","","73","76","75","DR_t18.r01","A2G07_10280.r01","a6679ee1dd99a76d4f263da36fcf6004_10037","689a1f7569cd370648666ad3906989ad_4739","e7eb4eb1fba968f75f75040ad2de8570_8095","5974397fafb4265a64d121638449c96c_2621","DRO_tRNA38.r01","5b1dec001b64d68f08bc514628990a75_7683"
"DXG80_12975","","hypothetical protein","8","8","1","1","2185","1","1456","","521","620","607","DR_0644.p01","A2G07_10255.p01","a6679ee1dd99a76d4f263da36fcf6004_10056","689a1f7569cd370648666ad3906989ad_4759","e7eb4eb1fba968f75f75040ad2de8570_8078","5974397fafb4265a64d121638449c96c_2641","DRO_0643.p01","5b1dec001b64d68f08bc514628990a75_7701"
"DXG80_13045","","MBL fold metallo-hydrolase","8","8","1","1","2197","1","1468","","938","1094","996","DR_0658.p01","A2G07_10190.p01","a6679ee1dd99a76d4f263da36fcf6004_10109","689a1f7569cd370648666ad3906989ad_4807","e7eb4eb1fba968f75f75040ad2de8570_8027","5974397fafb4265a64d121638449c96c_2693","DRO_0656.p01","5b1dec001b64d68f08bc514628990a75_7765"
"A2G07_10175","","PIN domain-containing protein","8","8","1","1","2200","1","1471","","425","518","471","DR_0660.p01","A2G07_10175.p01","a6679ee1dd99a76d4f263da36fcf6004_10121","689a1f7569cd370648666ad3906989ad_4819","e7eb4eb1fba968f75f75040ad2de8570_8015","5974397fafb4265a64d121638449c96c_2705","DRO_0659.p01","5b1dec001b64d68f08bc514628990a75_7775"
"A2G07_10170","","hypothetical protein","8","8","1","1","2201","1","1472","","218","254","245","DR_0661.p01","A2G07_10170.p01","a6679ee1dd99a76d4f263da36fcf6004_10125","689a1f7569cd370648666ad3906989ad_4823","e7eb4eb1fba968f75f75040ad2de8570_8011","5974397fafb4265a64d121638449c96c_2709","DRO_0660.p01","5b1dec001b64d68f08bc514628990a75_7779"
"MSS93_10810","","hypothetical protein","8","8","1","1","2208","1","1479","","473","587","530","DR_0673.p01","A2G07_10135.p01","a6679ee1dd99a76d4f263da36fcf6004_10165","689a1f7569cd370648666ad3906989ad_4861","e7eb4eb1fba968f75f75040ad2de8570_7972","5974397fafb4265a64d121638449c96c_2749","DRO_0668.p01","5b1dec001b64d68f08bc514628990a75_7817"
"MSS93_10875","","DUF11 domain-containing protein","8","8","1","1","2220","1","1491","","1991","2141","2026","DR_0685.p01","A2G07_10075.p01","a6679ee1dd99a76d4f263da36fcf6004_10213","689a1f7569cd370648666ad3906989ad_4910","e7eb4eb1fba968f75f75040ad2de8570_7924","5974397fafb4265a64d121638449c96c_2798","DRO_0681.p01","5b1dec001b64d68f08bc514628990a75_7868"
"A2G07_10050","","DUF11 domain-containing protein","8","8","1","1","2224","1","1495","","2576","2654","2624","DR_0688.p01","A2G07_10050.p01","a6679ee1dd99a76d4f263da36fcf6004_10232","689a1f7569cd370648666ad3906989ad_4930","e7eb4eb1fba968f75f75040ad2de8570_7903","5974397fafb4265a64d121638449c96c_2817","DRO_0686.p01","5b1dec001b64d68f08bc514628990a75_7910"
"DR_0689","","uracil-DNA glycosylase","8","8","1","1","2225","1","1496","","677","743","734","DR_0689.p01","A2G07_10045.p01","a6679ee1dd99a76d4f263da36fcf6004_10236","689a1f7569cd370648666ad3906989ad_4934","e7eb4eb1fba968f75f75040ad2de8570_7899","5974397fafb4265a64d121638449c96c_2821","DRO_0687.p01","5b1dec001b64d68f08bc514628990a75_7914"
"DR_0692","","P-II family nitrogen regulator","8","8","1","1","2228","1","1499","","383","413","394","DR_0692.p01","A2G07_10030.p01","a6679ee1dd99a76d4f263da36fcf6004_10248","689a1f7569cd370648666ad3906989ad_4946","e7eb4eb1fba968f75f75040ad2de8570_7887","5974397fafb4265a64d121638449c96c_2833","DRO_0690.p01","5b1dec001b64d68f08bc514628990a75_7926"
"DXG80_13230","","V-type ATP synthase subunit H","8","8","1","1","2230","1","1501","","296","317","314","DR_0694.p01","A2G07_10020.p01","a6679ee1dd99a76d4f263da36fcf6004_10256","689a1f7569cd370648666ad3906989ad_4954","e7eb4eb1fba968f75f75040ad2de8570_7879","5974397fafb4265a64d121638449c96c_2841","DRO_0692.p01","5b1dec001b64d68f08bc514628990a75_7934"
"MSS93_10975","","V-type ATP synthase subunit C","8","8","1","1","2234","1","1505","","977","1058","1007","DR_0698.p01","A2G07_10000.p01","a6679ee1dd99a76d4f263da36fcf6004_10272","689a1f7569cd370648666ad3906989ad_4970","e7eb4eb1fba968f75f75040ad2de8570_7864","5974397fafb4265a64d121638449c96c_2857","DRO_0696.p01","5b1dec001b64d68f08bc514628990a75_7950"
"MSS93_10980","","V-type ATP synthase subunit F","8","8","1","1","2235","1","1506","","317","347","343","DR_0699.p01","A2G07_09995.p01","a6679ee1dd99a76d4f263da36fcf6004_10276","689a1f7569cd370648666ad3906989ad_4974","e7eb4eb1fba968f75f75040ad2de8570_7860","5974397fafb4265a64d121638449c96c_2861","DRO_0697.p01","5b1dec001b64d68f08bc514628990a75_7954"
"DXG80_13280","","HD domain-containing protein","8","8","1","1","2240","1","1511","","581","596","592","DR_0704.p01","A2G07_09970.p01","a6679ee1dd99a76d4f263da36fcf6004_10296","689a1f7569cd370648666ad3906989ad_4993","e7eb4eb1fba968f75f75040ad2de8570_7841","5974397fafb4265a64d121638449c96c_2881","DRO_0702.p01","5b1dec001b64d68f08bc514628990a75_7974"
"MSS93_11025","","hypothetical protein","8","8","1","1","2243","1","1514","","1943","2156","2102","DR_0707.p01","A2G07_09955.p01","a6679ee1dd99a76d4f263da36fcf6004_10308","689a1f7569cd370648666ad3906989ad_5005","e7eb4eb1fba968f75f75040ad2de8570_7830","5974397fafb4265a64d121638449c96c_2893","DRO_0705.p01","5b1dec001b64d68f08bc514628990a75_7990"
"DR_0710","","nucleotidyltransferase family protein","8","8","1","1","2246","1","1517","","743","848","782","DR_0710.p01","A2G07_09940.p01","a6679ee1dd99a76d4f263da36fcf6004_10320","689a1f7569cd370648666ad3906989ad_5017","e7eb4eb1fba968f75f75040ad2de8570_7820","5974397fafb4265a64d121638449c96c_2905","DRO_0708.p01","5b1dec001b64d68f08bc514628990a75_8002"
"A2G07_09935","","NAD-dependent epimerase/dehydratase family protein","8","8","1","1","2247","1","1518","","983","1034","1027","DR_0711.p01","A2G07_09935.p01","a6679ee1dd99a76d4f263da36fcf6004_10324","689a1f7569cd370648666ad3906989ad_5021","e7eb4eb1fba968f75f75040ad2de8570_7816","5974397fafb4265a64d121638449c96c_2909","DRO_0709.p01","5b1dec001b64d68f08bc514628990a75_8006"
"A2G07_09915","","mismatch-specific DNA-glycosylase","8","8","1","1","2251","1","1522","","599","662","606","DR_0715.p01","A2G07_09915.p01","a6679ee1dd99a76d4f263da36fcf6004_10340","689a1f7569cd370648666ad3906989ad_5035","e7eb4eb1fba968f75f75040ad2de8570_7802","5974397fafb4265a64d121638449c96c_2924","DRO_0713.p01","5b1dec001b64d68f08bc514628990a75_8020"
"DR_0718","","aspartate 1-decarboxylase","8","8","1","1","2254","1","1525","","350","362","356","DR_0718.p01","A2G07_09900.p01","a6679ee1dd99a76d4f263da36fcf6004_10352","689a1f7569cd370648666ad3906989ad_5047","e7eb4eb1fba968f75f75040ad2de8570_7791","5974397fafb4265a64d121638449c96c_2936","DRO_0716.p01","5b1dec001b64d68f08bc514628990a75_8034"
"HAV35_10265","","TetR/AcrR family transcriptional regulator","8","8","1","1","2256","1","1527","","578","647","619","DR_0720.p01","A2G07_09890.p01","a6679ee1dd99a76d4f263da36fcf6004_10360","689a1f7569cd370648666ad3906989ad_5055","e7eb4eb1fba968f75f75040ad2de8570_7783","5974397fafb4265a64d121638449c96c_2944","DRO_0718.p01","5b1dec001b64d68f08bc514628990a75_8042"
"DXG80_13400","","carbohydrate kinase","8","8","1","1","2261","1","1532","","890","911","908","DR_0728.p01","A2G07_09860.p01","a6679ee1dd99a76d4f263da36fcf6004_10392","689a1f7569cd370648666ad3906989ad_5075","e7eb4eb1fba968f75f75040ad2de8570_7761","5974397fafb4265a64d121638449c96c_2976","DRO_0725.p01","5b1dec001b64d68f08bc514628990a75_8082"
"DXG80_13430","","hypothetical protein","8","8","1","1","2267","1","1538","","218","287","243","DR_0734.p01","A2G07_09830.p01","a6679ee1dd99a76d4f263da36fcf6004_10416","689a1f7569cd370648666ad3906989ad_5099","e7eb4eb1fba968f75f75040ad2de8570_7737","5974397fafb4265a64d121638449c96c_3000","DRO_0731.p01","5b1dec001b64d68f08bc514628990a75_8106"
"DR_0735","","TetR/AcrR family transcriptional regulator","8","8","1","1","2268","1","1539","","671","689","677","DR_0735.p01","A2G07_09825.p01","a6679ee1dd99a76d4f263da36fcf6004_10420","689a1f7569cd370648666ad3906989ad_5103","e7eb4eb1fba968f75f75040ad2de8570_7734","5974397fafb4265a64d121638449c96c_3004","DRO_0732.p01","5b1dec001b64d68f08bc514628990a75_8110"
"MSS93_11200","","efflux RND transporter periplasmic adaptor subunit","8","8","1","1","2271","1","1542","","1163","1256","1230","DR_0739.p01","A2G07_09810.p01","a6679ee1dd99a76d4f263da36fcf6004_10432","689a1f7569cd370648666ad3906989ad_5115","e7eb4eb1fba968f75f75040ad2de8570_7722","5974397fafb4265a64d121638449c96c_3016","DRO_0735.p01","5b1dec001b64d68f08bc514628990a75_8126"
"HAV35_10175","","hypothetical protein","8","8","1","1","2273","1","1544","","305","425","350","DR_0741.p01","A2G07_09800.p01","a6679ee1dd99a76d4f263da36fcf6004_10440","689a1f7569cd370648666ad3906989ad_5123","e7eb4eb1fba968f75f75040ad2de8570_7715","5974397fafb4265a64d121638449c96c_3024","DRO_0737.p01","5b1dec001b64d68f08bc514628990a75_8134"
"argR","","arginine repressor","8","8","1","1","2274","1","1545","","473","515","494","DR_0742.p01","A2G07_09795.p01","a6679ee1dd99a76d4f263da36fcf6004_10444","689a1f7569cd370648666ad3906989ad_5127","e7eb4eb1fba968f75f75040ad2de8570_7711","5974397fafb4265a64d121638449c96c_3028","DRO_0738.p01","5b1dec001b64d68f08bc514628990a75_8138"
"MSS93_11225","","HAMP domain-containing protein","8","8","1","1","2276","1","1547","","1553","1700","1626","DR_0744.p01","A2G07_09785.p01","a6679ee1dd99a76d4f263da36fcf6004_10452","689a1f7569cd370648666ad3906989ad_5135","e7eb4eb1fba968f75f75040ad2de8570_7703","5974397fafb4265a64d121638449c96c_3036","DRO_0740.p01","5b1dec001b64d68f08bc514628990a75_8146"
"DR_0746","","hypothetical protein","8","8","1","1","2278","1","1549","","212","239","222","DR_0746.p01","A2G07_09775.p01","a6679ee1dd99a76d4f263da36fcf6004_10460","689a1f7569cd370648666ad3906989ad_5143","e7eb4eb1fba968f75f75040ad2de8570_7695","5974397fafb4265a64d121638449c96c_3044","DRO_0742.p01","5b1dec001b64d68f08bc514628990a75_8154"
"DR_0753","","DsbA family protein","8","8","1","1","2285","1","1556","","689","788","726","DR_0753.p01","A2G07_09740.p01","a6679ee1dd99a76d4f263da36fcf6004_10488","689a1f7569cd370648666ad3906989ad_5169","e7eb4eb1fba968f75f75040ad2de8570_7669","5974397fafb4265a64d121638449c96c_3072","DRO_0749.p01","5b1dec001b64d68f08bc514628990a75_8184"
"MSS93_11320","","metallophosphoesterase","8","8","1","1","2293","1","1564","","830","926","878","DR_0761.p01","A2G07_09700.p01","a6679ee1dd99a76d4f263da36fcf6004_10520","689a1f7569cd370648666ad3906989ad_5199","e7eb4eb1fba968f75f75040ad2de8570_7641","5974397fafb4265a64d121638449c96c_3104","DRO_0757.p01","5b1dec001b64d68f08bc514628990a75_8204"
"DXG80_13565","","hypothetical protein","8","8","1","1","2294","1","1565","","380","395","389","DR_0762.p01","A2G07_09695.p01","a6679ee1dd99a76d4f263da36fcf6004_10524","689a1f7569cd370648666ad3906989ad_5203","e7eb4eb1fba968f75f75040ad2de8570_7637","5974397fafb4265a64d121638449c96c_3108","DRO_0758.p01","5b1dec001b64d68f08bc514628990a75_8208"
"A2G07_09690","","GNAT family N-acetyltransferase","8","8","1","1","2295","1","1566","","476","530","509","DR_0763.p01","A2G07_09690.p01","a6679ee1dd99a76d4f263da36fcf6004_10528","689a1f7569cd370648666ad3906989ad_5207","e7eb4eb1fba968f75f75040ad2de8570_7633","5974397fafb4265a64d121638449c96c_3112","DRO_0759.p01","5b1dec001b64d68f08bc514628990a75_8212"
"pilO","","hypothetical protein","8","8","1","1","2304","1","1575","","599","659","651","DR_0772.p01","A2G07_09645.p01","a6679ee1dd99a76d4f263da36fcf6004_10564","689a1f7569cd370648666ad3906989ad_5239","e7eb4eb1fba968f75f75040ad2de8570_7599","5974397fafb4265a64d121638449c96c_3148","DRO_0768.p01","5b1dec001b64d68f08bc514628990a75_8248"
"MSS93_07665","","hypothetical protein","8","8","1","1","1671","1","942","","353","1073","947","DR_0115.p01","A2G07_12935.p01","a6679ee1dd99a76d4f263da36fcf6004_7888","689a1f7569cd370648666ad3906989ad_2697","e7eb4eb1fba968f75f75040ad2de8570_35","5974397fafb4265a64d121638449c96c_472","DRO_0114.p01","5b1dec001b64d68f08bc514628990a75_5546"
"aroC","","chorismate synthase","8","8","1","1","2307","1","1578","","1148","1316","1169","DR_0775.p01","A2G07_09630.p01","a6679ee1dd99a76d4f263da36fcf6004_10578","689a1f7569cd370648666ad3906989ad_5249","e7eb4eb1fba968f75f75040ad2de8570_7590","5974397fafb4265a64d121638449c96c_3162","DRO_0771.p01","5b1dec001b64d68f08bc514628990a75_8264"
"HAV23_06790","","shikimate kinase","8","8","1","1","2308","1","1579","","590","716","653","DR_0776.p01","A2G07_09625.p01","a6679ee1dd99a76d4f263da36fcf6004_10582","689a1f7569cd370648666ad3906989ad_5253","e7eb4eb1fba968f75f75040ad2de8570_7586","5974397fafb4265a64d121638449c96c_3166","DRO_0772.p01","5b1dec001b64d68f08bc514628990a75_8268"
"DXG80_13685","","NUDIX domain-containing protein","8","8","1","1","2316","1","1587","","449","467","464","DR_0784.p01","A2G07_09585.p01","a6679ee1dd99a76d4f263da36fcf6004_10616","689a1f7569cd370648666ad3906989ad_5287","e7eb4eb1fba968f75f75040ad2de8570_7553","5974397fafb4265a64d121638449c96c_3200","DRO_0780.p01","5b1dec001b64d68f08bc514628990a75_8296"
"HAV23_06845","","uroporphyrinogen-III synthase","8","8","1","1","2317","1","1588","","677","773","761","DR_0786.p01","A2G07_09575.p01","a6679ee1dd99a76d4f263da36fcf6004_10622","689a1f7569cd370648666ad3906989ad_5293","e7eb4eb1fba968f75f75040ad2de8570_7548","5974397fafb4265a64d121638449c96c_3206","DRO_0782.p01","5b1dec001b64d68f08bc514628990a75_8308"
"E5E91_04095","","RNA-binding protein","8","8","1","1","2318","1","1589","","464","713","677","DR_0787.p01","A2G07_09570.p01","a6679ee1dd99a76d4f263da36fcf6004_10626","689a1f7569cd370648666ad3906989ad_5297","e7eb4eb1fba968f75f75040ad2de8570_7544","5974397fafb4265a64d121638449c96c_3210","DRO_0783.p01","5b1dec001b64d68f08bc514628990a75_8312"
"DXG80_00035","","aspartate aminotransferase family protein","8","8","1","1","2325","1","1596","","1289","1397","1329","DR_0794.p01","A2G07_09535.p01","a6679ee1dd99a76d4f263da36fcf6004_21","689a1f7569cd370648666ad3906989ad_5325","e7eb4eb1fba968f75f75040ad2de8570_7516","5974397fafb4265a64d121638449c96c_3238","DRO_0790.p01","5b1dec001b64d68f08bc514628990a75_8352"
"DXG80_00055","","GNAT family N-acetyltransferase","8","8","1","1","2329","1","1600","","587","623","600","DR_0798.p01","A2G07_09515.p01","a6679ee1dd99a76d4f263da36fcf6004_37","689a1f7569cd370648666ad3906989ad_5341","e7eb4eb1fba968f75f75040ad2de8570_7500","5974397fafb4265a64d121638449c96c_3254","DRO_0794.p01","5b1dec001b64d68f08bc514628990a75_8370"
"DRO_0795","","Gfo/Idh/MocA family oxidoreductase","8","8","1","1","2330","1","1601","","1112","1196","1143","DR_0799.p01","A2G07_09510.p01","a6679ee1dd99a76d4f263da36fcf6004_41","689a1f7569cd370648666ad3906989ad_5345","e7eb4eb1fba968f75f75040ad2de8570_7496","5974397fafb4265a64d121638449c96c_3258","DRO_0795.p01","5b1dec001b64d68f08bc514628990a75_8374"
"HAV23_06935","","twin-arginine translocase TatA/TatE family subunit","8","8","1","1","2335","1","1606","","320","398","349","DR_0805.p01","A2G07_09485.p01","a6679ee1dd99a76d4f263da36fcf6004_61","689a1f7569cd370648666ad3906989ad_5363","e7eb4eb1fba968f75f75040ad2de8570_7478","5974397fafb4265a64d121638449c96c_3278","DRO_0800.p01","5b1dec001b64d68f08bc514628990a75_8398"
"tatC","","twin-arginine translocase subunit TatC","8","8","1","1","2336","1","1607","","782","812","808","DR_0806.p01","A2G07_09480.p01","a6679ee1dd99a76d4f263da36fcf6004_65","689a1f7569cd370648666ad3906989ad_5367","e7eb4eb1fba968f75f75040ad2de8570_7475","5974397fafb4265a64d121638449c96c_3282","DRO_0801.p01","5b1dec001b64d68f08bc514628990a75_8402"
"ubiA","","prenyltransferase","8","8","1","1","2339","1","1610","","884","998","926","DR_0809.p01","A2G07_09465.p01","a6679ee1dd99a76d4f263da36fcf6004_77","689a1f7569cd370648666ad3906989ad_5379","e7eb4eb1fba968f75f75040ad2de8570_7463","5974397fafb4265a64d121638449c96c_3294","DRO_0804.p01","5b1dec001b64d68f08bc514628990a75_8410"
"E5E91_04215","","serine protease","8","8","1","1","2342","1","1613","","1646","1775","1758","DR_0812.p01","A2G07_09450.p01","a6679ee1dd99a76d4f263da36fcf6004_88","689a1f7569cd370648666ad3906989ad_5391","e7eb4eb1fba968f75f75040ad2de8570_7451","5974397fafb4265a64d121638449c96c_3306","DRO_0807.p01","5b1dec001b64d68f08bc514628990a75_8420"
"DXG80_00140","","MgtC/SapB family protein","8","8","1","1","2346","1","1617","","422","464","458","DR_0816.p01","A2G07_09430.p01","a6679ee1dd99a76d4f263da36fcf6004_104","689a1f7569cd370648666ad3906989ad_5407","e7eb4eb1fba968f75f75040ad2de8570_7436","5974397fafb4265a64d121638449c96c_3322","DRO_0811.p01","5b1dec001b64d68f08bc514628990a75_8434"
"E5E91_04240","","hypothetical protein","8","8","1","1","2347","1","1618","","347","413","396","DR_0817.p01","A2G07_09425.p01","a6679ee1dd99a76d4f263da36fcf6004_108","689a1f7569cd370648666ad3906989ad_5411","e7eb4eb1fba968f75f75040ad2de8570_7432","5974397fafb4265a64d121638449c96c_3326","DRO_0812.p01","5b1dec001b64d68f08bc514628990a75_8438"
"DXG80_00165","","hypothetical protein","8","8","1","1","2350","1","1621","","398","524","413","DR_0820.p01","A2G07_09410.p01","a6679ee1dd99a76d4f263da36fcf6004_124","689a1f7569cd370648666ad3906989ad_5423","e7eb4eb1fba968f75f75040ad2de8570_7420","5974397fafb4265a64d121638449c96c_3338","DRO_0815.p01","5b1dec001b64d68f08bc514628990a75_8448"
"DR_0822","","SDR family oxidoreductase","8","8","1","1","2352","1","1623","","740","800","762","DR_0822.p01","A2G07_09400.p01","a6679ee1dd99a76d4f263da36fcf6004_132","689a1f7569cd370648666ad3906989ad_5431","e7eb4eb1fba968f75f75040ad2de8570_7412","5974397fafb4265a64d121638449c96c_3346","DRO_0817.p01","5b1dec001b64d68f08bc514628990a75_8456"
"DR_0824","","amidohydrolase family protein","8","8","1","1","2353","1","1624","","1205","1256","1224","DR_0824.p01","A2G07_09390.p01","a6679ee1dd99a76d4f263da36fcf6004_140","689a1f7569cd370648666ad3906989ad_5439","e7eb4eb1fba968f75f75040ad2de8570_7404","5974397fafb4265a64d121638449c96c_3354","DRO_0819.p01","5b1dec001b64d68f08bc514628990a75_8464"
"DR_0831","","hypothetical protein","8","8","1","1","2360","1","1631","","245","434","410","DR_0831.p01","A2G07_09355.p01","a6679ee1dd99a76d4f263da36fcf6004_168","689a1f7569cd370648666ad3906989ad_5467","e7eb4eb1fba968f75f75040ad2de8570_7377","5974397fafb4265a64d121638449c96c_3382","DRO_0826.p01","5b1dec001b64d68f08bc514628990a75_8492"
